diagnosis,group,snomed_code,snomed_code_name
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648861000119100,Aneurysm of right subclavian artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648921000119102,Aneurysm of left subclavian artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15649301000119104,Aneurysm of right popliteal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15649361000119102,Aneurysm of left popliteal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15649421000119102,Aneurysm of right femoral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15649481000119104,Aneurysm of left femoral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15649741000119100,Aneurysm of right brachial artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15649781000119104,Aneurysm of left brachial artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15649821000119100,Aneurysm of artery of right upper limb (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15649861000119104,Aneurysm of artery of left upper limb (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15707961000119108,Dissection of bilateral carotid arteries (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15708001000119106,Dissection of left carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15708041000119108,Dissection of right carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15710641000119100,Dissection of bilateral vertebral arteries (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15710681000119104,Dissection of right vertebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15710721000119104,Dissection of left vertebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15710841000119104,Dissection of bilateral iliac arteries (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15966461000119108,Dissection of left renal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15966501000119108,Dissection of right renal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15966541000119104,Dissection of bilateral renal arteries (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16288341000119100,Dissection of left femoral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16288381000119104,Dissection of bilateral femoral arteries (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16288421000119100,Dissection of right femoral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16289261000119104,Dissection of left subclavian artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16289341000119108,Dissection of right subclavian artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16289381000119104,Dissection of hepatic artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16477701000119104,Dissection of celiac artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16606761000119102,Dissection of artery of left lower limb (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16606801000119104,Dissection of artery of right lower limb (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16662331000119106,Aneurysm of right vertebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16662371000119108,Aneurysm of left vertebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16662411000119104,Dissection of left radial artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16662451000119106,Dissection of right radial artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16662531000119100,Dissection of bilateral popliteal arteries (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16662571000119104,Dissection of left popliteal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16662611000119108,Dissection of right popliteal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16697571000119104,Dissection of right brachial artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,16705611000119108,Dissection of left brachial artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,186893003,Rupture of syphilitic cerebral aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,195154000,Ruptured berry aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,195271009,Brachial artery aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,195272002,Radial artery aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,195273007,Ulnar artery aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,195279006,Anterior tibial aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,195281008,Posterior tibial aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,195289005,Inferior mesenteric aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,230728003,Dissection of cervicocerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,230730001,Dissection of vertebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233983001,Ruptured cerebral aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233986009,Common femoral aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233987000,Superficial femoral aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233988005,Carotid artery aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233993008,Dissection of anterior spinal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233994002,Dissection of thoracic aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233995001,Type I dissection of thoracic aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233996000,Type II dissection of thoracic aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233997009,Dissection of distal aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,233999007,Dissection of iliac artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,234000009,Dissection of femoral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,234001008,Dissection of transplant artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,236492003,Congenital renal artery aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,236493008,Acquired renal artery aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,24624008,Aneurysm of internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,247124009,Retinal macroaneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,25412000,Microaneurysm of retinal artery due to diabetes mellitus (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,27651000146102,Dissection of descending aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,284811000119102,Aneurysm of extracranial portion of internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,284821000119109,Aneurysm of intracranial portion of internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,29495008,Aneurysm of artery of upper extremity (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,297175006,Profunda femoris aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,297176007,Vertebral artery aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,301432000,Aneurysm of head and neck artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,301899003,Dissection of proximal aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,308546005,Dissection of aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,311798009,Ruptured popliteal artery aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,34037000,Microaneurysm of retinal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,36184004,Aneurysm of renal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,3827008,Aneurysm of artery of neck (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,40136003,Aneurysm of subclavian artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,405577005,Nontraumatic dissection of thoracic aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,408666009,Dissection of abdominal aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,41740005,Aneurysm of axillary artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,425453009,Chronic nontraumatic dissection of thoracic aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,428479004,Aneurysm of superficial temporal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,48273005,Aneurysm of popliteal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,57614009,Aneurysm of pancreaticoduodenal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,590005,Congenital aneurysm of anterior communicating artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,61091005,Aneurysm of external carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,65498003,Aneurysm of superior mesenteric artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,677591000119108,Microaneurysm of bilateral retinal arteries (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,677601000119101,Microaneurysm of left retinal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,677611000119103,Microaneurysm of right retinal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,703308008,Acquired dissection of pulmonary artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,705066004,Dissection of internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,710864009,Dissection of artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,713029000,Dissection of thoracoabdominal aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,713030005,Chronic dissection of thoracic aorta (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,713032002,Dissection of artery of lower limb (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,713033007,Dissection of artery of upper extremity (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,713034001,Dissection of mesenteric artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,713035000,Dissection of precerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,713036004,Dissection of renal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,713081000,Dissection of cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,720512007,Arterial dissection and lentiginosis syndrome (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,720626009,Dissection of carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,720809000,Dissection of external carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,724442004,Dissection of ascending aorta and aortic arch (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,732230001,Dissection of coronary artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,737159004,Aneurysm of basilar artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,737160009,Dissection of basilar artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,764452004,Retinal arterial macroaneurysm with supravalvular pulmonic stenosis (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,770581008,Microaneurysm of right retinal artery due to diabetes mellitus (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,770582001,Microaneurysm of left retinal artery due to diabetes mellitus (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783413008,Multiple aneurysms of cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783415001,Aneurysm of internal carotid bifurcation (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783416000,Aneurysm of anterior cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783417009,Aneurysm of posterior inferior cerebellar artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783418004,Aneurysm of anterior communicating artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783419007,Aneurysm of posterior cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783420001,Aneurysm of middle cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783421002,Aneurysm of posterior communicating artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783422009,Aneurysm of internal carotid-anterior communicating artery zone (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783423004,Aneurysm of internal carotid-posterior communicating artery zone (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783629005,Congenital aneurysm of cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783630000,Congenital aneurysm of precerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783707003,Cerebral aneurysm due to dissection of cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,783716004,Acquired aneurysm of cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,8370004,Aneurysm of spinal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,840419005,Dissection of extracranial carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,840420004,Dissection of extracranial vertebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,840422007,Dissection of anterior cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,840434004,Dissection of posterior cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,840436002,Dissection of middle cerebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,840437006,Dissection of multiple cerebral arteries (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,840438001,Dissection of intracranial vertebral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,840439009,Dissection of intracranial carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,840441005,Dissection of intracranial artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,870637009,Dissection of cervical artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,871662001,Dissection of aorta at coarctation site following procedure (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,91445000,Aneurysm of femoral artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,943003,Congenital retinal aneurysm (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,12237351000119106,Aneurysm of artery of left lower limb (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,12237391000119100,Aneurysm of artery of right lower limb (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,15649301000119104,Aneurysm of right popliteal artery (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,15649361000119102,Aneurysm of left popliteal artery (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,15649421000119102,Aneurysm of right femoral artery (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,15649481000119104,Aneurysm of left femoral artery (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,195279006,Anterior tibial aneurysm (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,195280009,Dorsalis pedis aneurysm (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,195281008,Posterior tibial aneurysm (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,20981007,Aneurysm of artery of lower extremity (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,233986009,Common femoral aneurysm (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,233987000,Superficial femoral aneurysm (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,297175006,Profunda femoris aneurysm (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,311798009,Ruptured popliteal artery aneurysm (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,48273005,Aneurysm of popliteal artery (disorder)
Aneurysm of artery of lower extremity,Aneurysm and dissection of specified arteries,91445000,Aneurysm of femoral artery (disorder)
Angina pectoris,Ischaemic heart disease,15960061000119102,Unstable angina co-occurrent and due to coronary arteriosclerosis
Angina pectoris,Ischaemic heart disease,15960141000119102,Angina co-occurrent and due to coronary arteriosclerosis
Angina pectoris,Ischaemic heart disease,15960341000119104,Unstable angina due to arteriosclerosis of coronary artery bypass graft of transplanted heart
Angina pectoris,Ischaemic heart disease,15960381000119109,Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorde)
Angina pectoris,Ischaemic heart disease,15960461000119105,Unstable angina due to arteriosclerosis of autologous arterial coronary artery bypass graft
Angina pectoris,Ischaemic heart disease,15960541000119107,Unstable angina due to arteriosclerosis of autologous vein coronary artery bypass graft
Angina pectoris,Ischaemic heart disease,15960581000119102,Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft
Angina pectoris,Ischaemic heart disease,15960661000119107,Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft
Angina pectoris,Ischaemic heart disease,16754391000119100,Stable angina due to coronary arteriosclerosis
Angina pectoris,Ischaemic heart disease,19057007,Status anginosus (disorder)
Angina pectoris,Ischaemic heart disease,194828000,Angina (disorder)
Angina pectoris,Ischaemic heart disease,21470009,Syncope anginosa (disorder)
Angina pectoris,Ischaemic heart disease,225566008,Ischemic chest pain (finding)
Angina pectoris,Ischaemic heart disease,233819005,Stable angina (disorder)
Angina pectoris,Ischaemic heart disease,233821000,New onset angina (disorder)
Angina pectoris,Ischaemic heart disease,25106000,Impending infarction (disorder)
Angina pectoris,Ischaemic heart disease,300995000,Exercise-induced angina (disorder)
Angina pectoris,Ischaemic heart disease,315025001,Refractory angina (disorder)
Angina pectoris,Ischaemic heart disease,35928006,Nocturnal angina (disorder)
Angina pectoris,Ischaemic heart disease,371806006,Progressive angina
Angina pectoris,Ischaemic heart disease,371807002,Atypical angina (disorder)
Angina pectoris,Ischaemic heart disease,371808007,Recurrent angina status post percutaneous transluminal coronary angioplasty
Angina pectoris,Ischaemic heart disease,371809004,Recurrent angina status post coronary stent placement
Angina pectoris,Ischaemic heart disease,371810009,Recurrent angina status post coronary artery bypass graft
Angina pectoris,Ischaemic heart disease,371811008,Recurrent angina status post rotational atherectomy
Angina pectoris,Ischaemic heart disease,371812001,Recurrent angina status post directional coronary atherectomy
Angina pectoris,Ischaemic heart disease,41334000,"Angina, class II (disorder)"
Angina pectoris,Ischaemic heart disease,429559004,Typical angina (disorder)
Angina pectoris,Ischaemic heart disease,4557003,Preinfarction syndrome (disorder)
Angina pectoris,Ischaemic heart disease,59021001,Angina decubitus (disorder)
Angina pectoris,Ischaemic heart disease,61490001,"Angina, class I (disorder)"
